                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2503,                 2.2498,                 1.3191,                0.05374,                0.20953,                0.04247,                0.01127,                 2.8206,                 3.9262,                 2.5735,             0.00041431,             0.00041431,             0.00041431
                      2,                 1.2621,                 1.8072,                 1.3206,                0.15971,                0.20287,                0.11201,                0.03955,                 2.1862,                 6.9265,                 1.8325,             0.00082275,             0.00082275,             0.00082275
                      3,                  1.248,                 1.7397,                 1.3144,                0.10735,                 0.3281,                0.07948,                0.02321,                 2.6776,                 4.1429,                 2.2574,              0.0012229,              0.0012229,              0.0012229
                      4,                 1.1899,                 1.6626,                 1.2909,                0.41019,                0.33871,                0.27451,                0.10041,                 2.1029,                 2.5952,                 1.6768,              0.0012129,              0.0012129,              0.0012129
                      5,                 1.1286,                 1.5802,                 1.2403,                0.26383,                0.35936,                0.20038,                0.06392,                 2.3756,                 2.8538,                 2.0752,              0.0012129,              0.0012129,              0.0012129
                      6,                 1.0734,                  1.484,                 1.2148,                0.31003,                0.30166,                0.20423,                0.06549,                 2.4339,                 2.9504,                 1.9601,              0.0012005,              0.0012005,              0.0012005
                      7,                 1.0334,                 1.4479,                 1.1943,                0.23219,                0.31111,                0.23157,                0.08502,                 2.0394,                 2.7358,                  1.773,              0.0011881,              0.0011881,              0.0011881
                      8,                0.99401,                 1.3777,                 1.1683,                0.43779,                0.39919,                0.35554,                0.14105,                   1.96,                 2.2479,                 1.6314,              0.0011757,              0.0011757,              0.0011757
                      9,                 0.9559,                 1.3078,                 1.1499,                0.36152,                 0.4767,                0.33175,                0.14183,                 1.8452,                 2.3582,                 1.5753,              0.0011634,              0.0011634,              0.0011634
                     10,                 0.9112,                 1.2844,                 1.1304,                0.33903,                0.37478,                 0.2664,                0.10222,                 1.9968,                 2.4889,                 1.6717,               0.001151,               0.001151,               0.001151
