                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.1967,                 3.2431,                 1.4933,                0.27904,                0.17675,                0.15987,                0.09685,                 1.6226,                 2.2467,                 1.2677,             0.00014314,             0.00014314,             0.00014314
                      2,                 1.6508,                  1.779,                 1.1845,                0.41826,                0.22341,                0.23666,                0.14686,                 1.5144,                 1.7024,                 1.1983,             0.00028529,             0.00028529,             0.00028529
                      3,                 1.5856,                 1.6477,                 1.1536,                0.37331,                 0.2365,                0.23875,                   0.15,                 1.4776,                 1.6342,                 1.1716,             0.00042456,             0.00042456,             0.00042456
                      4,                 1.5402,                 1.5769,                 1.1412,                0.42657,                0.27048,                0.28622,                0.18051,                 1.4392,                 1.5415,                 1.1442,             0.00042208,             0.00042208,             0.00042208
                      5,                  1.516,                 1.5312,                 1.1265,                0.36099,                0.27494,                0.28258,                0.17911,                 1.4081,                 1.4785,                 1.1322,             0.00042208,             0.00042208,             0.00042208
                      6,                 1.5004,                 1.4871,                 1.1168,                0.35559,                0.22335,                0.24762,                0.16057,                 1.4578,                 1.5297,                 1.1269,             0.00041777,             0.00041777,             0.00041777
                      7,                 1.4873,                  1.454,                 1.1086,                0.44781,                0.28234,                0.30372,                0.19705,                 1.4072,                 1.4677,                 1.1055,             0.00041347,             0.00041347,             0.00041347
                      8,                 1.4751,                 1.4289,                 1.1033,                0.51326,                0.36952,                0.37675,                0.24286,                 1.3683,                 1.4067,                  1.119,             0.00040916,             0.00040916,             0.00040916
                      9,                 1.4568,                 1.3919,                 1.0951,                0.53966,                0.41827,                0.43482,                0.27402,                   1.37,                 1.3619,                 1.1033,             0.00040485,             0.00040485,             0.00040485
                     10,                 1.4478,                 1.3776,                  1.089,                 0.5079,                0.39249,                0.39797,                0.25431,                 1.3462,                  1.369,                 1.0885,             0.00040055,             0.00040055,             0.00040055
                     11,                 1.4374,                 1.3443,                 1.0811,                0.51344,                0.33169,                0.38634,                0.24712,                 1.3655,                 1.3938,                 1.0913,             0.00039624,             0.00039624,             0.00039624
                     12,                 1.4247,                  1.318,                 1.0783,                0.54166,                0.41907,                0.44915,                0.28728,                 1.3503,                 1.3488,                 1.0883,             0.00039193,             0.00039193,             0.00039193
                     13,                  1.416,                 1.2984,                 1.0743,                0.47357,                0.45369,                0.46461,                0.30077,                 1.3465,                 1.3149,                   1.09,             0.00038763,             0.00038763,             0.00038763
                     14,                 1.4044,                 1.2707,                 1.0678,                0.51342,                0.49076,                0.49287,                0.32216,                 1.3087,                 1.2623,                 1.0686,             0.00038332,             0.00038332,             0.00038332
                     15,                  1.394,                  1.263,                 1.0671,                0.60774,                0.47404,                 0.4975,                0.32843,                 1.2985,                 1.2269,                 1.0618,             0.00037902,             0.00037902,             0.00037902
                     16,                 1.3876,                 1.2411,                 1.0604,                0.52156,                0.44072,                0.47097,                0.30774,                 1.3224,                 1.3001,                 1.0688,             0.00037471,             0.00037471,             0.00037471
                     17,                 1.3783,                  1.215,                 1.0562,                0.63307,                0.47284,                0.51168,                 0.3344,                 1.3174,                 1.2499,                  1.072,              0.0003704,              0.0003704,              0.0003704
                     18,                 1.3679,                 1.2044,                 1.0543,                0.58163,                0.51292,                0.55263,                 0.3738,                 1.2932,                 1.1861,                 1.0564,              0.0003661,              0.0003661,              0.0003661
                     19,                 1.3666,                 1.1819,                 1.0505,                0.50128,                0.54109,                0.52837,                0.35669,                 1.3161,                 1.2275,                 1.0611,             0.00036179,             0.00036179,             0.00036179
                     20,                  1.352,                 1.1668,                 1.0444,                0.64292,                0.48597,                0.55648,                 0.3709,                 1.2935,                  1.174,                 1.0547,             0.00035748,             0.00035748,             0.00035748
                     21,                 1.3468,                 1.1441,                 1.0395,                0.56778,                0.49211,                0.51037,                0.33518,                 1.2899,                 1.2139,                 1.0576,             0.00035318,             0.00035318,             0.00035318
                     22,                 1.3388,                 1.1367,                 1.0394,                 0.6036,                0.50195,                0.55566,                0.37271,                 1.2707,                  1.171,                  1.052,             0.00034887,             0.00034887,             0.00034887
                     23,                 1.3335,                 1.1151,                 1.0328,                0.65425,                0.52103,                0.55087,                0.36913,                 1.2916,                 1.1395,                 1.0524,             0.00034456,             0.00034456,             0.00034456
                     24,                 1.3233,                 1.1048,                 1.0324,                0.66409,                0.51803,                0.56296,                0.37625,                 1.2611,                 1.1092,                 1.0445,             0.00034026,             0.00034026,             0.00034026
                     25,                 1.3233,                 1.0978,                 1.0296,                0.66649,                0.52382,                0.60145,                0.40944,                  1.249,                 1.0761,                 1.0341,             0.00033595,             0.00033595,             0.00033595
                     26,                 1.3199,                 1.0839,                 1.0287,                0.67281,                0.54364,                0.60026,                0.41403,                 1.2517,                  1.078,                  1.033,             0.00033164,             0.00033164,             0.00033164
                     27,                 1.3071,                 1.0623,                 1.0224,                0.64282,                0.54858,                0.57799,                 0.3913,                 1.2661,                 1.0961,                 1.0396,             0.00032734,             0.00032734,             0.00032734
                     28,                 1.2966,                 1.0509,                 1.0194,                0.61653,                0.57182,                0.60083,                0.40432,                 1.2508,                 1.0724,                 1.0324,             0.00032303,             0.00032303,             0.00032303
                     29,                 1.2892,                 1.0327,                 1.0158,                0.70042,                0.54958,                 0.6085,                0.41808,                 1.2439,                 1.0512,                  1.031,             0.00031872,             0.00031872,             0.00031872
                     30,                 1.2911,                 1.0327,                 1.0157,                0.59017,                0.63839,                0.64142,                0.44574,                 1.2357,                 1.0374,                 1.0255,             0.00031442,             0.00031442,             0.00031442
                     31,                 1.2782,                 1.0189,                 1.0142,                0.67538,                0.58779,                0.63891,                0.43789,                 1.2194,                 1.0182,                 1.0197,             0.00031011,             0.00031011,             0.00031011
                     32,                 1.2789,                 1.0084,                 1.0116,                0.61918,                0.61001,                0.64018,                0.44064,                 1.2329,                 1.0262,                 1.0254,              0.0003058,              0.0003058,              0.0003058
                     33,                 1.2585,                0.98225,                 1.0046,                0.65712,                0.59926,                0.66131,                0.46035,                  1.204,                0.99298,                 1.0132,              0.0003015,              0.0003015,              0.0003015
                     34,                 1.2659,                0.98288,                 1.0038,                0.64584,                0.61586,                0.64218,                0.42967,                 1.2194,                 1.0064,                 1.0201,             0.00029719,             0.00029719,             0.00029719
                     35,                 1.2485,                0.96451,                 1.0003,                0.69244,                0.59309,                0.65361,                0.45306,                 1.2049,                0.97941,                 1.0095,             0.00029289,             0.00029289,             0.00029289
                     36,                 1.2599,                0.97017,                 1.0013,                 0.6933,                0.61962,                0.67179,                0.46024,                 1.2133,                0.97667,                 1.0119,             0.00028858,             0.00028858,             0.00028858
                     37,                 1.2514,                0.95486,                 0.9992,                0.71647,                0.60627,                0.67639,                0.47187,                 1.2055,                0.95218,                 1.0088,             0.00028427,             0.00028427,             0.00028427
                     38,                 1.2405,                0.94362,                0.99548,                0.67888,                0.65328,                0.69797,                0.48419,                 1.2038,                0.96594,                 1.0041,             0.00027997,             0.00027997,             0.00027997
                     39,                 1.2396,                0.93734,                0.99596,                0.73321,                 0.6412,                0.70435,                0.49491,                 1.1764,                0.94169,                0.99987,             0.00027566,             0.00027566,             0.00027566
                     40,                 1.2262,                0.91974,                0.98981,                0.70792,                 0.6573,                0.70441,                0.48831,                 1.1749,                0.91931,                  1.001,             0.00027135,             0.00027135,             0.00027135
                     41,                 1.2304,                0.92102,                0.99049,                0.74451,                0.63509,                0.70178,                0.49307,                 1.1846,                0.90079,                 1.0003,             0.00026705,             0.00026705,             0.00026705
                     42,                 1.2188,                0.90455,                0.98627,                0.74215,                0.66086,                0.71707,                 0.5106,                 1.1729,                 0.8905,                0.99721,             0.00026274,             0.00026274,             0.00026274
                     43,                 1.2181,                0.89984,                0.98501,                 0.7746,                0.63189,                0.69874,                0.48663,                 1.1913,                0.93067,                  1.005,             0.00025843,             0.00025843,             0.00025843
                     44,                 1.2126,                0.89256,                 0.9821,                0.74579,                0.64146,                0.70409,                0.49627,                 1.1701,                0.90311,                0.99865,             0.00025413,             0.00025413,             0.00025413
                     45,                 1.2082,                0.88883,                0.98234,                0.73275,                0.66551,                0.70615,                0.49945,                   1.17,                0.89653,                0.99592,             0.00024982,             0.00024982,             0.00024982
                     46,                 1.2071,                0.88211,                 0.9788,                0.74737,                0.67487,                0.72341,                0.51256,                 1.1643,                0.87862,                0.99517,             0.00024551,             0.00024551,             0.00024551
                     47,                 1.1932,                 0.8668,                0.97755,                0.75009,                0.64833,                0.70805,                0.50876,                 1.1538,                0.85207,                0.98985,             0.00024121,             0.00024121,             0.00024121
                     48,                 1.1905,                0.86249,                0.97762,                0.74802,                0.66819,                0.73639,                0.52254,                 1.1497,                 0.8588,                0.98938,              0.0002369,              0.0002369,              0.0002369
